Date,Workout 1 hr.,Stretched 15 min.,Brushed Teeth,Shaved,Read 10 min.,Word of the Day,Quote of the Day,Went to Church,Something Hard,Cleared To Do List,Cleared Important Emails,Finished HW a week out,Called Mom & Dad,Cross something off the To Do list,hi
Multipliers,1,1,1,1,1,1,1,3,6,10,4,5,1,1,0
2024-12-18,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2024-12-19,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
2024-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
